カード番号,文字,部首,字体数,用例数１,用例数２,用例数３,大字典
0882,金,167,1,2,,,12380
0883,鏡,167,1,5,,,12613
0884,長,168,1,8,,,12698
0885,開,169,1,4,,,12716
0886,闇,169,1,2,,,12768
0887,間,169,1,34,,,12724
0888,闊,169,1,2,,,12771
0889,門,169,1,42,,,12709
0890,附,170,1,2,,,12834
0891,陰,170,1,7,,,12862
0892,障,170,1,9,,,12914
0893,陜,170,1,3,,,12849
0894,際,170,1,14,,,12913
0895-0896,阿,170,1,52,,,12830
0897,除,170,1,6,,,12855
0898,隨,170,1,40,,,12927
0899,雜,172,1,19,,,12997
0900,難,172,1,3,,,13002
0901,集,172,1,14,,,12963
0902,雖,172,1,13,,,12991
0903,靜,174,1,3,,,13103
0904-0905,非,175,1,71,,,13104
0906,音,180,1,5,,,13281
0907,顧,181,1,2,,,13409
0908,顛,181,1,3,,,13395
0909,願,181,1,7,,,13391
0910,頓,181,1,18,,,13316
0911,類,181,1,15,,,13398
0912,順,181,1,17,,,13302
0913,須,181,1,6,,,13304
0914,顯,181,1,28,,,13416
0915-0916,頼,154,1,52,,,11411
0917,食,184,1,2,,,13503
0918,餘,184,1,46,,,13565
0919,首,185,1,4,,,13661
0920,香,186,1,4,,,13667
0921,驗,187,1,2,,,13849
0922-0923,體,188,1,56,,,13934
0924,高,189,1,3,,,13940
0925,髻,190,1,2,,,13970
0926,鬘,190,1,2,,,13999
0927,鬼,194,1,3,,,14061
0928,14659,198,1,4,,,14659
0929,麥,199,1,5,,,14661
0930-0933,乘,004,1,178,,,00102
0934,事,006,2,17,9,,00128
0935,今,009,2,13,5,,00175
0936,假,009,2,15,1,,00405
0937,兔,010,2,4,1,,00573
0938,凡,016,2,10,4,,00701
0939,勝,019,2,22,1,,00893
0940,報,032,2,15,2,,01796
0941,契,037,2,2,1,,01984
0942,妄,038,1,17,,,02033
0943,就,043,1,27,,,02464
0944,己,049,1,2,,,02782
0945,已,049,2,36,1,,02783
0946,廢,053,2,1,1,,02992
0947,情,061,2,4,2,,03348
0948,揚,064,2,2,1,,03904
0949,改,066,2,2,1,,04228
0950,會,073,2,7,3,,04667
0951,槃,075,2,6,1,,05228
0952,梁,075,2,3,1,,04967
0953,用,101,2,13,11,,07469
0954,發,105,2,8,4,,07707
0955,縛,120,2,1,1,,08963
0956,聲,128,2,20,7,,09328
0957,聚,128,2,3,2,,09314
0958,記,149,2,18,1,,10914
0959,解,148,2,19,15,,10875
0960,譬,149,2,3,1,,11189
0961,陀,170,2,11,1,,12831
0962,離,172,2,30,7,,13001
0963,齊,210,2,19,7,,14828
0964,穀,115,3,7,1,1,08261
