統合ID,文字,光武帝紀,字体数,用例数,部首
04461,旱,0807,1,3,072
04656,曷,0808,1,2,073
04661,曾,0809,1,2,073
04654,更,0810,1,26,073
04651,曲,0811,1,3,073
04667,會,0812,1,9,073
04673,月,0813,1,69,074
04674,有,0815,1,23,074
04686,朔,0816,1,2,074
04679,服,0817,1,5,074
04693,望,0818,1,6,074
04688,朕,0819,1,7,074
04930,桃,0820,1,2,075
04967,梁,0821,1,7,075
05031,棘,0822,1,3,075
04803,林,0823,1,5,075
04904,校,0824,1,7,075
04933,案,0825,1,2,075
04717,朱,0826,1,12,075
04735,李,0827,1,10,075
04711,未,0828,1,22,075
04765,東,0829,1,10,075
05134,楚,0830,1,2,075
05014,棄,0831,1,2,075
05391,檀,0832,1,2,075
04747,杜,0833,1,3,075
05123,楊,0834,1,2,075
05152,業,0835,1,3,075
04712,末,0836,1,2,075
05080,植,0837,1,2,075
05279,樂,0838,1,3,075
05393,檄,0839,1,2,075
05558,次,0840,1,2,076
05589,欽,0841,1,2,076
05580,欲,0842,1,10,076
05649,武,0843,1,88,077
05645,步,0845,1,8,077
05666,歳,0846,1,7,077
05643,正,0847,1,13,077
05676,歸,0848,1,9,077
05644,此,0849,1,2,077
05692,歿,0850,1,3,078
05686,死,0851,1,7,078
05796,殺,0852,1,12,079
05795,殷,0853,1,2,079
05834,母,0854,1,2,080
05841,比,0855,1,2,081
05932,氏,0856,1,7,083
05935,民,0857,1,3,083
05947,氣,0858,1,3,084
06236,淄,0859,1,3,085
06074,法,0860,1,4,085
06362,湖,0861,1,4,085
06151,流,0862,1,3,085
06408,溢,0863,1,2,085
05957,永,0864,1,12,085
06432,滅,0865,1,3,085
06285,深,0866,1,4,085
06477,漁,0867a,2,2,085
06477b,漁,0867b,2,2,085
06538,潞,0868,1,2,085
06182,海,0869,1,4,085
06281,淮,0870,1,4,085
06128,津,0871,1,3,085
06175,浮,0872,1,4,085
06523,潁,0873,1,2,085
06499,漢,0874,1,31,085
06123,洛,0875,1,6,085
06045,河,0876,1,7,085
06476,滿,0877,1,4,085
06034,沛,0878,1,2,085
06233,涿,0879,1,2,085
06365,湛,0880,1,2,085
06282,淯,0881,1,2,085
05952,水,0882,1,8,085
06861,焉,0883,1,7,086
06776,火,0884,1,2,086
06885,然,0885,1,3,086
06872,無,0886,1,16,086
06978,燒,0887,1,2,086
06980,燔,0888,1,3,086
07034,爵,0889,1,2,087
07032,爲,0890,1,87,087
07028,爭,0892,1,3,087
07035,父,0893,1,8,088
07065,牙,0894,1,5,092
07072,牛,0895,1,3,093
07106,犢,0896,1,5,093
07079,牧,0897,1,4,093
07080,物,0898,1,6,093
07241,獲,0899,1,8,094
07212,獄,0900,1,2,094
07203,猶,0901,1,2,094
07112,犯,0902,1,2,094
07127,狄,0903,1,2,094
