統合ID,文字,開成周易,字体数,用例数,部首
06824,炳,0194,0,1,086
07122,狀,0195,0,1,094
07063,牖,0196,0,1,091
07065,牙,0197,0,1,092
07107,犧,0198,0,1,093
07090,牿,0199,0,1,093
07079,牧,0200,0,1,093
07082,牲,0201,0,1,093
07248,獸,0202,0,1,094
07381,璣,0203,0,1,096
07368,璇,0204,0,1,096
07272,玩,0205,0,1,096
07403,瓜,0206,0,1,097
07452,甕,0207,0,1,098
07520,畢,0208,0,1,102
07550,疇,0209,0,1,102
07527,畬,0210,0,1,102
07508,留,0211,0,1,102
07583,疵,0212,0,1,104
07565,疚,0213,0,1,104
07598,病,0214,0,1,104
07613,痛,0215,0,1,104
07648,瘠,0216,0,1,104
07732,皤,0217,0,1,106
07715,的,0218,0,1,106
07762,盍,0219,0,1,108
07786,盪,0220,0,1,108
07843,眼,0221,0,1,109
07951,矯,0223,0,1,111
08143,禁,0224,0,1,113
08101,社,0225,0,1,113
08261,穀,0226,0,1,115
08221,稊,0227,0,1,115
08252,稷,0228,0,1,115
08192,科,0229,0,1,115
08257,稼,0230,0,1,115
08187,秋,0231,0,1,115
08346,竄,0232,0,1,116
08380,競,0233,0,1,117
08361,竝,0234,0,1,117
08469,算,0235,0,1,118
08500,篇,0236,0,1,118
08576,簪,0237,0,1,118
08522,篤,0238,0,1,118
08443,筤,0239,0,1,118
08382,竹,0240,0,1,118
08679,粹,0241,0,1,119
08753,純,0242,0,1,120
09054,纆,0243,0,1,120
09046,繻,0244,0,1,120
09061,續,0245,0,1,120
08809,絶,0246,0,1,120
08891,綸,0247,0,1,120
08868,綜,0248,0,1,120
08972,縣,0249,0,1,120
08982,縱,0250,0,1,120
08735,紀,0251,0,1,120
08736,紂,0252,0,1,120
08827,絪,0253,0,1,120
08814,絜,0254,0,1,120
09115,罟,0255,0,1,122
09216,翔,0256,0,1,124
09245,翼,0257,0,1,124
09218,翕,0258,0,1,124
09262,耊,0259,0,1,125
09278,耜,0260,0,1,127
09285,耦,0261,0,1,127
09286,耨,0262,0,1,127
09345,肆,0263,0,1,129
09442,脊,0264,0,1,130
09394,背,0265,0,1,130
09489,腓,0266,1,2,130
09396,胏,0267,0,1,130
09482,腊,0268,0,1,130
09609,臲,0269,0,1,132
10031,蒼,0270,0,1,140
09982,葦,0271,0,1,140
10042,蓏,0272,0,1,140
10076,蔚,0273,0,1,140
09807,茂,0274,0,1,140
09973,葘,0275,0,1,140
09805,茀,0276,0,1,140
10251,蘭,0277,0,1,140
09867,莅,0278,0,1,140
09888,莧,0279,0,1,140
