,,kgk_賢劫経二,kgk_賢劫経二,kgk_賢劫経二,
統合ID,見出し文字,代表字形ID,字体数,代表字形ID,部首
08165,禮,0912a,2,2,113
08165b,禮,0912b,2,2,113
08258,稽,0913a,3,3,115
08258b,稽,0913b,3,2,115
08258c,稽,0913c,3,2,115
09126,罫,0914a,2,3,122
09126b,罫,0914b,2,1,122
09629,與,0915a,2,3,134
09629b,與,0915b,2,2,134
09795,英,0916a,2,1,140
09795b,英,0916b,2,1,140
09954,萬,0917a,2,11,140
09954b,萬,0917b,2,8,140
10856,覺,0918a,3,20,147
10856b,覺,0918b,3,2,147
10856c,覺,0918c,3,2,147
11342,貪,0919a,2,11,154
11342b,貪,0919b,2,1,154
11795,載,0920a,2,2,159
11795b,載,0920b,2,1,159
11916,辯,0921a,3,4,160
11916b,辯,0921b,3,2,160
11916c,辯,0921c,3,1,160
03157,徧,0922a,2,3,060
