,,kcj_慶長紀2,kcj_慶長紀2,kcj_慶長紀2,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
07294,珥,0836,1,2,096
07261,玉,0837,1,53,096
07346,瑞,0839,1,2,096
07275,玲,0840,1,2,096
07395,瓏,0841,1,2,096
07452,甕,0842,1,6,098
07444,甍,0843,1,2,098
07457,甚,0844,1,5,099
07461,生,0845,1,44,100
07464,産,0846,1,41,100
07469,用,0847,1,7,101
07478,田,0848,1,34,102
07479,由,0849,1,3,102
07483,男,0850,1,4,102
07503,畏,0851,1,2,102
07508,留,0852,1,9,102
07535,當,0853,1,51,102
05845,毗,0855,1,2,081
07559,疑,0856,1,5,103
07591,疾,0857,1,5,104
07685,癡,0858,1,2,104
07706,登,0859,1,6,105
07709,白,0860,1,9,106
07710,百,0861,1,8,106
07717,皆,0862,1,7,106
07718,皇,0863,1,69,106
07785,盧,0865,1,2,108
07779,盡,0866,1,3,108
07759,益,0867,1,3,108
07790,目,0868,1,12,109
07801,相,0869,1,14,109
07827,眞,0870,1,7,109
07844,眾,0871,1,3,109
07929,矛,0872,1,4,110
07938,矣,0873,1,31,111
07937,矢,0874,1,24,111
07941,知,0875,1,16,111
07948,短,0876,1,2,111
07954,石,0877,1,6,112
08023,碕,0878,1,5,112
08047,磐,0879,1,21,112
08057,磨,0880,1,7,112
08124,神,0881,1,202,113
08166,禰,0886,1,4,113
08117,祖,0887,1,12,113
08159,禦,0888,1,3,113
08135,祭,0889,1,2,113
08235,稜,0890,1,4,115
08187,秋,0891,1,2,115
08212,移,0892,1,2,115
08180,私,0893,1,3,115
08244,種,0894,1,2,115
08248,稱,0895,1,8,115
08273,穗,0896,1,23,115
08233,稚,0897,1,28,115
08179,秀,0898,1,2,115
08296,空,0899,1,4,116
08329,窮,0900,1,3,116
08353,竊,0901,1,2,116
08354,立,0902,1,13,117
08376,端,0903,1,2,117
08437,答,0904a,2,1,118
08437b,答,0904b,2,1,118
08435,筒,0905,1,3,118
08619,籠,0906,1,6,118
08631,籬,0907,1,3,118
08461,箇,0908,1,10,118
08404,笠,0909,1,4,118
08434,筑,0910,1,3,118
08396,笑,0911,1,2,118
08382,竹,0912,1,8,118
08468,箕,0913,1,2,118
08856,經,0914,1,11,120
08924,緣,0915,1,12,120
08765,素,0916,1,5,120
08773,紫,0917,1,3,120
08807,結,0918,1,2,120
08899,綿,0919,1,2,120
08795,終,0920,1,3,120
09028,繩,0921,1,2,120
09012,織,0922,1,2,120
09125,罪,0923,1,2,122
09128,置,0924,1,7,122
09155,美,0925,1,12,123
09195,羽,0926,1,9,124
09201,翁,0927,1,11,124
09250,老,0928,1,12,125
09264,而,0929,1,120,126
09267,耐,0932,1,4,126
09315,聞,0933,1,11,128
09290,耳,0934,1,9,128
09292,耶,0935,1,20,128
09394,背,0936,1,6,130
09429,能,0937,1,17,130
09425,胸,0938,1,8,130
09413,胤,0939,1,7,130
09522,膂,0940,1,3,130
09508,腰,0941,1,2,130
09577,臍,0942,1,2,130
09596,臣,0943,1,2,131
09602,自,0944,1,34,132
09611,致,0945,1,8,133
09610,至,0946,1,25,133
09617,臺,0947,1,2,133
09629,與,0948,1,23,134
09632,擧,0949,1,7,134
09675,船,0950,1,4,137
09714,良,0951,1,2,138
09716,色,0952,1,4,139
09972,著,0953,1,3,140
09921,華,0954,1,4,140
09807,茂,0955a,2,4,140
09807b,茂,0955b,2,1,140
09758,花,0956a,2,3,140
09758b,花,0956b,2,1,140
09764,芹,0957,1,9,140
10031,蒼,0958,1,2,140
09846,草,0959,1,11,140
09985,葬,0960,1,3,140
09954,萬,0961,1,9,140
09961,落,0962,1,5,140
09788,若,0963,1,17,140
10160,薦,0964,1,2,140
09789,苦,0965,1,6,140
09982,葦,0966,1,26,140
10272,虛,0967,1,3,141
10563,蠅,0968,1,3,142
10614,行,0969,1,19,144
10636,衢,0970,1,3,144
10806,襲,0971,1,3,145
10637,衣,0972,1,2,145
10698,裂,0973,1,2,145
10774,襃,0974,1,3,145
10729,裹,0975,1,4,145
10820,西,0976,1,2,146
