統合ID,文字,和寧花67,字体数,用例数,部首
04512,是,0893a,2,68,072
04512b,是,0893b,2,2,072
04664,最,0895a,2,2,073
04664b,最,0895b,2,1,073
05228,槃,0896a,2,1,075
05228b,槃,0896b,2,1,075
05639,歡,0897a,2,11,076
05639b,歡,0897b,2,1,076
05643,正,0898a,2,6,077
05643b,正,0898b,2,4,077
07535,當,0899a,2,2,102
07535b,當,0899b,2,1,102
07707,發,0900a,2,15,105
07707b,發,0900b,2,3,105
08148,福,0901a,2,2,113
08148b,福,0901b,2,2,113
09030,繋,0902a,2,2,120
09030b,繋,0902b,2,1,120
09328,聲,0903a,2,6,128
09328b,聲,0903b,2,1,128
09665,般,0904a,2,13,137
09665b,般,0904b,2,1,137
09869,莊,0905a,2,20,140
09869b,莊,0905b,2,9,140
09921,華,0906a,2,19,140
09921b,華,0906b,2,1,140
09954,萬,0907a,2,3,140
09954b,萬,0907b,2,1,140
10204,藥,0908a,2,1,140
10204b,藥,0908b,2,1,140
10270,處,0909a,2,58,141
10270b,處,0909b,2,1,141
10856,覺,0911a,2,4,147
10856b,覺,0911b,2,1,147
10875,解,0912a,2,17,148
10875b,解,0912b,2,2,148
11025,説,0913a,2,100,149
11025b,説,0913b,2,1,149
11051,諍,0916a,2,2,149
11051b,諍,0916b,2,1,149
11275,象,0917a,2,2,152
11275b,象,0917b,2,1,152
11982,退,0918a,2,10,162
11982b,退,0918b,2,2,162
13103,靜,0919a,2,3,174
13103b,靜,0919b,2,1,174
13391,願,0920a,2,30,181
13391b,願,0920b,2,1,181
14361,鳥,0921a,2,1,196
14361b,鳥,0921b,2,1,196
09462,脩,0922a,3,42,130
09462b,脩,0922b,3,7,130
09462c,脩,0922c,3,1,130
11914,辭,0923a,3,3,160
11914b,辭,0923b,3,3,160
11914c,辭,0923c,3,1,160
